Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,570486,-,-,-,21.17,-101.7,-6,1892,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.0
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),
2018,1,1,0,30,0,0,0,0,0,0,0,5,174.96,0,0.16,2.1,1.6,51,68.78,10.5,817,0.0000,0.0000,N/A
2018,1,1,1,30,0,0,0,0,0,0,0,4.6000000000000005,170.63,0,0.16,2.4000000000000004,1.6,60,71.15,9.600000000000001,817,0.0000,0.0000,N/A
2018,1,1,2,30,0,0,0,0,0,0,4,4.3,156.87,0,0.16,2.6,1.5,65,74.04,8.700000000000001,817,0.0000,0.0000,N/A
2018,1,1,3,30,0,0,0,0,0,0,0,4.5,143.09,0,0.16,2.7,1.5,69,78.78,8,817,0.0000,0.0000,N/A
2018,1,1,4,30,0,0,0,0,0,0,0,5.2,129.39000000000001,0,0.16,2.7,1.5,72,84.37,7.7,817,0.0000,0.0000,N/A
2018,1,1,5,30,0,0,0,0,0,0,0,6.1000000000000005,115.85000000000001,0,0.16,2.5,1.4000000000000001,74,90.66,7.5,817,0.0000,0.0000,N/A
2018,1,1,6,30,0,0,0,0,0,0,0,6.800000000000001,102.56,0,0.16,2.5,1.4000000000000001,74,94.27,7.7,817,0.0000,0.0000,N/A
2018,1,1,7,30,13,90,14,13,90,14,0,7.300000000000001,89.28,0,0.16,3.3000000000000003,1.4000000000000001,73,88.76,9.1,818,0.0000,0.0000,N/A
2018,1,1,8,30,57,612,192,57,612,192,0,8,77.22,0,0.16,4.4,1.5,77,78.59,11.600000000000001,818,9.2287,7.0634,N/A
2018,1,1,9,30,75,816,409,75,816,409,0,8.200000000000001,65.8,0,0.16,4.800000000000001,1.5,85,66.66,14.3,819,21.6844,16.8670,N/A
2018,1,1,10,30,83,910,594,83,910,594,0,7.300000000000001,55.84,0,0.16,4.9,1.5,92,52.550000000000004,17.1,818,33.4812,26.2026,N/A
2018,1,1,11,30,91,949,722,91,949,722,0,6.5,48.29,0,0.16,4.6000000000000005,1.5,99,43.51,19.200000000000003,817,41.9629,32.9220,N/A
2018,1,1,12,30,100,955,782,100,955,782,0,6.2,44.410000000000004,0,0.16,4,1.5,105,39.26,20.5,816,46.0030,36.1238,N/A
2018,1,1,13,30,101,944,767,101,944,767,0,6.1000000000000005,45.15,0,0.16,3.2,1.6,109,37.14,21.3,815,45.0238,35.3494,N/A
2018,1,1,14,30,104,902,680,104,902,680,0,6,50.33,0,0.16,2.5,1.6,110,36.74,21.400000000000002,815,39.2359,30.7654,N/A
